,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,shot_number
102170,2,1,43.121104957496684,-75.80446199568213,87.72246,55451452.64707351,"[-3.47 -3.21 -2.95 -2.76 -2.57 -2.42 -2.31 -2.2  -2.09 -1.98 -1.86 -1.79
 -1.71 -1.6  -1.53 -1.45 -1.38 -1.34 -1.27 -1.19 -1.15 -1.08 -1.04 -0.97
 -0.93 -0.85 -0.82 -0.78 -0.71 -0.67 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41
 -0.37 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.03  0.    0.03  0.07  0.11
  0.14  0.22  0.26  0.29  0.33  0.37  0.41  0.48  0.52  0.56  0.59  0.63
  0.71  0.74  0.78  0.82  0.89  0.93  0.97  1.04  1.08  1.12  1.19  1.23
  1.3   1.34  1.42  1.45  1.53  1.6   1.64  1.71  1.79  1.83  1.9   1.98
  2.05  2.13  2.2   2.27  2.35  2.42  2.5   2.61  2.69  2.8   2.95  3.06
  3.21  3.4   3.62  3.88  4.22]",0,0.0,45940200200144401
103130,2,1,43.3933995413206,-75.23728647484995,357.88446,55451460.6222779,"[-2.95 -2.65 -2.39 -2.16 -1.98 -1.79 -1.6  -1.45 -1.3  -1.15 -1.   -0.85
 -0.74 -0.59 -0.48 -0.37 -0.22 -0.11  0.    0.14  0.26  0.37  0.52  0.63
  0.78  0.89  1.04  1.15  1.3   1.45  1.6   1.75  1.94  2.09  2.27  2.46
  2.65  2.87  3.06  3.28  3.51  3.73  3.96  4.18  4.41  4.67  4.93  5.23
  5.49  5.83  6.12  6.46  6.76  7.1   7.43  7.77  8.11  8.44  8.78  9.11
  9.41  9.71  9.97 10.24 10.5  10.76 10.98 11.21 11.43 11.62 11.84 12.03
 12.25 12.44 12.66 12.85 13.08 13.3  13.52 13.79 14.01 14.27 14.53 14.83
 15.13 15.43 15.77 16.1  16.44 16.78 17.15 17.49 17.86 18.27 18.68 19.13
 19.62 20.14 20.66 21.22 21.9 ]",0,97.0,45940200200145361
104250,2,1,43.70710563328086,-74.56819901624746,725.07587,55451469.9363061,"[-1.68 -1.12 -0.67 -0.26  0.07  0.44  0.82  1.15  1.49  1.83  2.2   2.57
  2.95  3.36  3.73  4.11  4.41  4.7   4.97  5.23  5.49  5.75  6.01  6.27
  6.5   6.68  6.87  7.1   7.25  7.43  7.62  7.77  7.96  8.11  8.29  8.44
  8.59  8.74  8.89  9.04  9.19  9.34  9.45  9.6   9.71  9.82  9.97 10.09
 10.2  10.35 10.46 10.61 10.76 10.87 11.02 11.17 11.32 11.47 11.62 11.73
 11.88 12.03 12.18 12.37 12.52 12.66 12.85 13.04 13.19 13.37 13.56 13.75
 13.97 14.16 14.38 14.57 14.8  15.02 15.24 15.47 15.69 15.92 16.14 16.4
 16.66 16.96 17.26 17.56 17.86 18.2  18.53 18.83 19.13 19.43 19.73 20.03
 20.36 20.74 21.15 21.63 22.2 ]",0,94.0,45940200200146481
104290,2,1,43.71861065188591,-74.54324995972816,908.5076,55451470.2833981,"[-2.5  -1.98 -1.56 -1.23 -0.93 -0.63 -0.37 -0.11  0.14  0.41  0.67  0.93
  1.19  1.38  1.6   1.79  1.98  2.16  2.31  2.5   2.65  2.84  2.98  3.17
  3.32  3.51  3.7   3.84  4.03  4.22  4.37  4.55  4.74  4.93  5.12  5.26
  5.45  5.64  5.83  6.01  6.2   6.39  6.57  6.8   7.02  7.25  7.47  7.69
  7.92  8.14  8.37  8.63  8.89  9.19  9.49  9.82 10.16 10.5  10.8  11.1
 11.36 11.66 11.95 12.25 12.55 12.85 13.11 13.37 13.6  13.82 14.05 14.27
 14.5  14.72 14.94 15.17 15.39 15.62 15.8  16.03 16.25 16.44 16.66 16.85
 17.07 17.3  17.52 17.78 18.05 18.35 18.68 18.98 19.28 19.62 19.92 20.21
 20.55 20.89 21.26 21.67 22.27]",0,92.0,45940200200146521
104420,2,1,43.754961506624085,-74.46486486312783,760.8769,55451471.36605765,"[-3.51 -3.21 -2.87 -2.61 -2.31 -1.98 -1.68 -1.38 -1.12 -0.93 -0.74 -0.56
 -0.37 -0.22 -0.07  0.07  0.22  0.41  0.56  0.74  0.93  1.12  1.34  1.53
  1.71  1.9   2.09  2.27  2.42  2.61  2.76  2.95  3.17  3.4   3.62  3.84
  4.11  4.33  4.59  4.82  5.08  5.3   5.53  5.75  5.97  6.16  6.35  6.54
  6.72  6.91  7.1   7.28  7.47  7.66  7.88  8.07  8.25  8.48  8.67  8.89
  9.11  9.34  9.56  9.79  9.97 10.2  10.38 10.57 10.76 10.95 11.1  11.28
 11.43 11.58 11.73 11.88 11.99 12.1  12.22 12.37 12.48 12.59 12.7  12.81
 12.93 13.08 13.23 13.37 13.52 13.71 13.86 14.08 14.27 14.46 14.68 14.87
 15.09 15.28 15.51 15.73 16.07]",0,94.0,45940200200146651
104430,2,1,43.757749821028916,-74.45883995045364,692.2699,55451471.44871765,"[-4.03 -3.06 -2.27 -1.56 -0.97 -0.48  0.    0.44  0.93  1.49  2.09  2.61
  3.06  3.43  3.81  4.14  4.48  4.82  5.15  5.53  5.94  6.42  6.91  7.4
  7.84  8.25  8.63  8.96  9.26  9.56  9.82 10.09 10.35 10.61 10.83 11.1
 11.32 11.54 11.77 11.99 12.25 12.52 12.78 13.08 13.37 13.67 13.94 14.23
 14.5  14.76 15.02 15.24 15.43 15.65 15.84 16.03 16.18 16.36 16.51 16.7
 16.85 17.04 17.19 17.34 17.45 17.6  17.71 17.82 17.93 18.08 18.16 18.27
 18.38 18.5  18.61 18.72 18.83 18.98 19.09 19.21 19.32 19.43 19.58 19.69
 19.84 19.99 20.14 20.29 20.44 20.59 20.77 20.96 21.15 21.37 21.6  21.82
 22.12 22.46 22.83 23.32 24.18]",0,96.0,45940200200146661
104440,2,1,43.76055037301984,-74.45279067084779,592.8174,55451471.53136915,"[-4.63 -3.77 -3.21 -2.76 -2.39 -2.09 -1.86 -1.64 -1.45 -1.3  -1.15 -1.
 -0.85 -0.74 -0.63 -0.52 -0.41 -0.29 -0.18 -0.07  0.03  0.14  0.22  0.33
  0.44  0.59  0.71  0.82  0.97  1.08  1.23  1.38  1.53  1.71  1.86  2.05
  2.24  2.42  2.61  2.84  3.06  3.32  3.55  3.81  4.11  4.37  4.67  5.
  5.34  5.64  5.97  6.24  6.5   6.76  6.98  7.17  7.4   7.62  7.84  8.07
  8.29  8.52  8.78  9.04  9.3   9.6   9.9  10.24 10.57 10.95 11.28 11.62
 11.95 12.29 12.63 12.89 13.15 13.41 13.67 13.94 14.27 14.61 14.98 15.32
 15.65 15.99 16.29 16.66 17.04 17.49 17.93 18.42 18.87 19.28 19.69 20.1
 20.55 21.07 21.63 22.23 22.98]",0,96.0,45940200200146671
104470,2,1,43.768831605751785,-74.43484172723998,563.98883,55451471.77928915,"[-3.92 -3.06 -2.01 -0.93 -0.29  0.29  0.82  1.27  1.56  1.83  2.05  2.24
  2.39  2.54  2.69  2.8   2.91  3.02  3.13  3.25  3.32  3.43  3.55  3.62
  3.73  3.84  3.92  4.03  4.14  4.22  4.33  4.44  4.55  4.7   4.82  4.93
  5.08  5.23  5.41  5.56  5.75  5.97  6.2   6.42  6.68  6.91  7.17  7.43
  7.73  8.11  8.48  8.89  9.3   9.79 10.31 10.83 11.28 11.69 12.07 12.48
 12.96 13.49 14.05 14.65 15.21 15.65 16.1  16.48 16.78 17.07 17.37 17.64
 17.86 18.12 18.35 18.53 18.76 18.94 19.13 19.35 19.54 19.73 19.95 20.18
 20.4  20.63 20.89 21.15 21.45 21.75 22.08 22.42 22.76 23.09 23.39 23.69
 24.03 24.51 25.15 25.97 26.83]",0,100.0,45940200200146701
104480,2,1,43.77159026004022,-74.42885960411387,563.6407,55451471.86192915,"[-4.74 -3.92 -3.32 -2.87 -2.46 -2.09 -1.79 -1.53 -1.3  -1.08 -0.93 -0.74
 -0.59 -0.44 -0.29 -0.18 -0.03  0.11  0.26  0.37  0.52  0.67  0.85  1.
  1.19  1.38  1.6   1.83  2.09  2.35  2.69  3.1   3.51  3.92  4.33  4.7
  5.    5.3   5.56  5.79  6.01  6.2   6.39  6.57  6.76  6.91  7.1   7.25
  7.4   7.54  7.66  7.81  7.96  8.07  8.22  8.33  8.48  8.59  8.74  8.85
  9.    9.11  9.23  9.38  9.49  9.64  9.75  9.86 10.01 10.12 10.27 10.38
 10.53 10.65 10.8  10.95 11.1  11.21 11.36 11.51 11.62 11.77 11.88 12.03
 12.18 12.33 12.48 12.63 12.81 13.   13.19 13.41 13.6  13.86 14.08 14.38
 14.68 15.09 15.54 16.07 16.78]",0,99.0,45940200200146711
104490,2,1,43.77435235786677,-74.42287101385233,560.4533,55451471.94456915,"[-2.98 -2.31 -1.83 -1.49 -1.27 -1.04 -0.85 -0.67 -0.52 -0.33 -0.18 -0.03
  0.11  0.26  0.44  0.59  0.74  0.93  1.12  1.3   1.49  1.68  1.86  2.05
  2.24  2.42  2.61  2.84  3.02  3.25  3.47  3.7   3.88  4.11  4.33  4.52
  4.74  4.93  5.12  5.3   5.45  5.64  5.83  5.97  6.12  6.27  6.46  6.57
  6.72  6.87  7.02  7.13  7.28  7.43  7.54  7.69  7.81  7.92  8.07  8.18
  8.33  8.44  8.55  8.7   8.82  8.93  9.04  9.15  9.26  9.38  9.49  9.6
  9.71  9.79  9.9  10.01 10.12 10.2  10.31 10.42 10.53 10.65 10.8  10.91
 11.06 11.21 11.36 11.54 11.73 11.95 12.18 12.4  12.66 12.89 13.15 13.41
 13.67 14.01 14.38 14.87 15.51]",0,95.0,45940200200146721
