,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
49700,2,1,44.7344221072872,-75.42057574588686,58.971027,111144866.64805216,"[-3.89 -3.51 -3.25 -3.03 -2.84 -2.65 -2.5  -2.39 -2.28 -2.17 -2.09 -1.98
 -1.9  -1.83 -1.75 -1.68 -1.6  -1.57 -1.49 -1.42 -1.38 -1.31 -1.27 -1.23
 -1.16 -1.12 -1.08 -1.04 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.71 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22
 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.71  0.74  0.78  0.82  0.86  0.89  0.97  1.01  1.04  1.08  1.16  1.19
  1.27  1.31  1.38  1.42  1.49  1.57  1.64  1.72  1.79  1.87  1.98  2.09
  2.24  2.39  2.58  2.84  3.4 ]",0,50.0,7,0,3,145870200300255071
49710,2,1,44.73179194365899,-75.41438751254871,55.631283,111144866.73071215,"[-5.09 -4.11 -3.55 -3.18 -2.88 -2.65 -2.47 -2.32 -2.17 -2.02 -1.9  -1.83
 -1.72 -1.64 -1.57 -1.49 -1.42 -1.34 -1.27 -1.19 -1.16 -1.08 -1.04 -0.97
 -0.93 -0.86 -0.82 -0.74 -0.71 -0.67 -0.63 -0.56 -0.52 -0.48 -0.41 -0.37
 -0.33 -0.29 -0.26 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.07  0.11  0.14
  0.18  0.22  0.29  0.33  0.37  0.41  0.44  0.52  0.56  0.59  0.67  0.71
  0.74  0.82  0.86  0.89  0.97  1.01  1.08  1.12  1.19  1.23  1.31  1.38
  1.45  1.53  1.6   1.68  1.75  1.83  1.94  2.05  2.17  2.32  2.47  2.65
  2.91  3.25  3.96  5.72  7.37  8.87  9.69 10.4  11.11 11.71 12.24 12.69
 13.13 13.66 14.26 14.89 15.83]",0,71.0,7,0,3,145870200300255081
49720,2,1,44.72916270772159,-75.4082074783332,68.141495,111144866.81337215,"[-6.06 -5.09 -4.37 -3.89 -3.55 -3.29 -3.06 -2.88 -2.73 -2.58 -2.43 -2.32
 -2.2  -2.09 -1.98 -1.87 -1.79 -1.68 -1.6  -1.53 -1.45 -1.38 -1.27 -1.23
 -1.16 -1.08 -1.01 -0.93 -0.86 -0.82 -0.74 -0.67 -0.63 -0.56 -0.52 -0.44
 -0.41 -0.33 -0.29 -0.22 -0.18 -0.11 -0.07  0.    0.03  0.11  0.14  0.22
  0.26  0.33  0.37  0.44  0.48  0.56  0.63  0.67  0.74  0.82  0.86  0.93
  1.01  1.08  1.16  1.19  1.27  1.34  1.42  1.53  1.6   1.68  1.75  1.87
  1.94  2.05  2.17  2.28  2.39  2.54  2.65  2.8   2.99  3.18  3.4   3.63
  3.85  4.11  4.37  4.64  4.9   5.16  5.5   5.83  6.21  6.66  7.11  7.59
  8.08  8.72  9.47 10.29 11.38]",0,41.0,7,0,3,145870200300255091
49730,2,1,44.726527312409196,-75.4020196357902,61.88993,111144866.8960237,"[-4.56 -4.19 -3.85 -3.63 -3.4  -3.21 -3.06 -2.91 -2.77 -2.65 -2.54 -2.47
 -2.35 -2.28 -2.17 -2.09 -2.02 -1.94 -1.87 -1.79 -1.72 -1.68 -1.6  -1.53
 -1.49 -1.42 -1.38 -1.31 -1.27 -1.19 -1.16 -1.12 -1.04 -1.01 -0.97 -0.89
 -0.86 -0.82 -0.74 -0.71 -0.67 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41 -0.37
 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07  0.    0.03  0.07  0.11  0.14
  0.18  0.26  0.29  0.33  0.37  0.41  0.44  0.52  0.56  0.59  0.63  0.71
  0.74  0.78  0.82  0.89  0.93  1.01  1.04  1.08  1.16  1.19  1.27  1.31
  1.38  1.45  1.53  1.57  1.64  1.72  1.83  1.9   1.98  2.09  2.2   2.32
  2.47  2.65  2.88  3.18  3.78]",0,0.0,7,0,3,145870200300255101
49740,2,1,44.72389401560079,-75.39584448493294,71.05513,111144866.9786637,"[-4.6  -4.23 -3.93 -3.7  -3.48 -3.33 -3.14 -2.99 -2.88 -2.77 -2.65 -2.54
 -2.43 -2.32 -2.24 -2.17 -2.05 -1.98 -1.9  -1.83 -1.75 -1.72 -1.64 -1.57
 -1.49 -1.45 -1.38 -1.34 -1.27 -1.23 -1.16 -1.12 -1.04 -1.01 -0.97 -0.89
 -0.86 -0.82 -0.74 -0.71 -0.67 -0.63 -0.56 -0.52 -0.48 -0.44 -0.41 -0.33
 -0.29 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.    0.03  0.07  0.14  0.18
  0.22  0.26  0.29  0.33  0.41  0.44  0.48  0.52  0.59  0.63  0.67  0.71
  0.78  0.82  0.86  0.93  0.97  1.04  1.08  1.12  1.19  1.27  1.31  1.38
  1.45  1.49  1.57  1.64  1.72  1.79  1.9   1.98  2.09  2.2   2.32  2.47
  2.62  2.8   3.06  3.4   4.04]",0,1.0,7,0,3,145870200300255111
49750,2,1,44.721258187509875,-75.3896672671699,63.91779,111144867.0613037,"[-2.69 -1.6  -0.86 -0.22  0.37  1.01  1.57  2.05  2.5   2.91  3.29  3.66
  4.    4.3   4.64  4.9   5.2   5.46  5.76  6.02  6.32  6.62  6.92  7.22
  7.48  7.74  8.01  8.23  8.42  8.64  8.83  9.02  9.17  9.35  9.5   9.69
  9.84  9.99 10.18 10.33 10.48 10.63 10.78 10.93 11.08 11.19 11.34 11.45
 11.6  11.71 11.82 11.94 12.05 12.16 12.27 12.39 12.46 12.57 12.69 12.8
 12.91 13.02 13.13 13.25 13.36 13.47 13.58 13.73 13.85 13.96 14.07 14.22
 14.33 14.44 14.56 14.67 14.78 14.93 15.04 15.16 15.31 15.42 15.57 15.68
 15.83 15.98 16.13 16.32 16.47 16.65 16.8  16.99 17.22 17.4  17.63 17.85
 18.11 18.45 18.86 19.5  20.58]",0,100.0,7,0,3,145870200300255121
49760,2,1,44.71862502614339,-75.38349815601207,66.51096,111144867.1439437,"[-4.41 -3.44 -2.77 -2.17 -1.64 -1.23 -0.89 -0.67 -0.44 -0.22 -0.03  0.18
  0.37  0.59  0.82  1.08  1.31  1.57  1.83  2.09  2.35  2.62  2.88  3.18
  3.48  3.81  4.23  4.64  5.09  5.54  5.91  6.25  6.55  6.85  7.15  7.44
  7.74  8.08  8.38  8.64  8.9   9.17  9.39  9.65  9.88 10.14 10.4  10.63
 10.85 11.08 11.26 11.45 11.64 11.82 11.97 12.16 12.31 12.46 12.61 12.72
 12.87 13.02 13.17 13.28 13.43 13.58 13.73 13.88 14.03 14.18 14.33 14.48
 14.63 14.78 14.93 15.08 15.27 15.42 15.57 15.72 15.9  16.05 16.24 16.39
 16.58 16.73 16.92 17.1  17.29 17.48 17.7  17.93 18.15 18.41 18.67 18.97
 19.24 19.54 19.91 20.4  21.41]",0,100.0,7,0,3,145870200300255131
49770,2,1,44.715991839632316,-75.37732554694027,67.96671,111144867.2265837,"[-8.72 -7.48 -5.95 -4.08 -3.1  -2.35 -1.79 -1.34 -0.97 -0.67 -0.41 -0.14
  0.11  0.37  0.67  0.93  1.23  1.53  1.9   2.28  2.69  3.14  3.59  4.
  4.37  4.71  5.05  5.35  5.61  5.91  6.21  6.47  6.77  7.03  7.29  7.52
  7.74  7.97  8.16  8.38  8.61  8.83  9.05  9.28  9.5   9.69  9.92 10.1
 10.29 10.51 10.7  10.93 11.11 11.34 11.56 11.79 12.01 12.2  12.42 12.61
 12.8  12.95 13.13 13.32 13.51 13.66 13.85 14.03 14.22 14.41 14.56 14.74
 14.93 15.12 15.27 15.46 15.64 15.79 15.98 16.13 16.28 16.43 16.58 16.73
 16.88 17.03 17.22 17.36 17.55 17.74 17.93 18.15 18.38 18.64 18.9  19.2
 19.5  19.84 20.28 20.85 21.93]",0,81.0,7,0,3,145870200300255141
49780,2,1,44.713358599447304,-75.37114881320431,70.15055,111144867.3092237,"[-5.87 -5.09 -4.64 -4.26 -3.93 -3.66 -3.4  -3.21 -2.99 -2.84 -2.65 -2.5
 -2.35 -2.2  -2.09 -1.94 -1.83 -1.72 -1.6  -1.53 -1.42 -1.34 -1.27 -1.19
 -1.12 -1.04 -0.97 -0.89 -0.82 -0.78 -0.71 -0.63 -0.59 -0.52 -0.48 -0.41
 -0.33 -0.29 -0.22 -0.18 -0.11 -0.07  0.    0.03  0.11  0.14  0.22  0.26
  0.33  0.37  0.44  0.48  0.56  0.59  0.67  0.74  0.82  0.86  0.93  1.01
  1.08  1.16  1.23  1.31  1.38  1.45  1.57  1.64  1.75  1.83  1.94  2.05
  2.13  2.24  2.35  2.47  2.58  2.69  2.77  2.88  2.99  3.14  3.25  3.36
  3.48  3.63  3.78  3.93  4.08  4.23  4.41  4.64  4.86  5.12  5.39  5.69
  5.98  6.36  6.77  7.37  8.23]",0,0.0,7,22,3,145870200300255151
49790,2,1,44.710724545507155,-75.36497149411107,69.11801,111144867.3918637,"[-2.47 -1.42 -0.56  0.03  0.67  1.72  2.5   3.06  3.66  4.41  5.24  6.1
  6.73  7.29  7.89  8.34  8.72  9.05  9.32  9.62  9.84 10.06 10.29 10.51
 10.7  10.89 11.08 11.26 11.41 11.6  11.75 11.94 12.09 12.24 12.39 12.54
 12.69 12.8  12.95 13.06 13.17 13.32 13.43 13.55 13.66 13.81 13.92 14.07
 14.18 14.33 14.44 14.59 14.74 14.86 15.01 15.12 15.27 15.38 15.49 15.61
 15.72 15.83 15.9  16.02 16.13 16.2  16.32 16.39 16.5  16.62 16.69 16.8
 16.88 16.99 17.07 17.18 17.25 17.36 17.44 17.55 17.63 17.74 17.85 17.93
 18.04 18.15 18.26 18.38 18.49 18.6  18.75 18.86 19.01 19.16 19.31 19.5
 19.69 19.95 20.21 20.58 21.52]",0,100.0,7,0,3,145870200300255161
