,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Deciduous Forest,Forest,2,1,42.89804141545351,-76.38818927331758,264.35803,122451069.1073355,"[-4.82 -4.3  -3.89 -3.59 -3.29 -3.1  -2.88 -2.73 -2.58 -2.43 -2.28 -2.13
 -2.02 -1.87 -1.75 -1.64 -1.53 -1.42 -1.31 -1.19 -1.08 -1.01 -0.89 -0.82
 -0.74 -0.63 -0.56 -0.48 -0.41 -0.33 -0.26 -0.18 -0.11 -0.03  0.03  0.11
  0.18  0.26  0.37  0.44  0.52  0.59  0.67  0.74  0.86  0.93  1.01  1.12
  1.19  1.31  1.38  1.49  1.57  1.68  1.75  1.87  1.94  2.05  2.13  2.24
  2.35  2.43  2.54  2.65  2.77  2.84  2.95  3.06  3.21  3.33  3.44  3.55
  3.7   3.81  3.96  4.11  4.26  4.45  4.64  4.82  5.09  5.39  5.8   6.43
  7.03  7.56  9.13 10.18 11.15 14.78 15.87 16.58 17.29 18.08 18.9  19.54
 20.06 20.55 21.07 21.56 22.08]",0,100.0,7,0,3,166150200300261088
1,Deciduous Forest,Forest,2,1,42.89518160804744,-76.3823869225097,282.2969,122451069.1899755,"[-3.93 -3.59 -3.25 -2.99 -2.73 -2.54 -2.35 -2.2  -2.05 -1.94 -1.83 -1.72
 -1.6  -1.53 -1.46 -1.34 -1.27 -1.19 -1.12 -1.04 -1.01 -0.93 -0.86 -0.78
 -0.74 -0.67 -0.59 -0.56 -0.48 -0.44 -0.37 -0.33 -0.26 -0.22 -0.14 -0.11
 -0.03  0.    0.07  0.11  0.18  0.22  0.29  0.33  0.41  0.44  0.52  0.56
  0.63  0.71  0.74  0.82  0.89  0.93  1.01  1.08  1.16  1.23  1.31  1.34
  1.42  1.49  1.57  1.68  1.75  1.83  1.9   1.98  2.09  2.17  2.28  2.35
  2.47  2.54  2.65  2.77  2.88  3.03  3.14  3.29  3.44  3.63  3.81  4.
  4.23  4.45  4.71  5.01  5.31  5.57  5.84  6.06  6.25  6.43  6.62  6.81
  7.    7.22  7.48  7.82  8.27]",0,100.0,7,0,3,166150200300261098
2,Pasture/Hay,Planted/Cultivated,2,1,42.84911823440796,-76.28909599263592,383.62772,122451070.5205906,"[-3.06 -2.8  -2.54 -2.35 -2.2  -2.05 -1.94 -1.83 -1.75 -1.68 -1.57 -1.49
 -1.42 -1.38 -1.31 -1.23 -1.19 -1.12 -1.08 -1.01 -0.97 -0.93 -0.86 -0.82
 -0.78 -0.74 -0.67 -0.63 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.56  0.59  0.63  0.67  0.71
  0.78  0.82  0.86  0.89  0.97  1.01  1.04  1.12  1.16  1.19  1.27  1.31
  1.38  1.42  1.49  1.53  1.6   1.68  1.72  1.79  1.87  1.94  2.02  2.09
  2.2   2.28  2.39  2.5   2.62  2.73  2.84  2.99  3.14  3.29  3.48  3.63
  3.81  3.96  4.19  4.41  4.71]",0,0.0,7,0,3,166150200300261258
3,Deciduous Forest,Forest,2,1,42.834533511632856,-76.25962095794964,317.96445,122451070.9420546,"[-1.98 -1.9  -1.79 -1.68 -1.6  -1.49 -1.42 -1.34 -1.27 -1.19 -1.12 -1.04
 -1.01 -0.93 -0.89 -0.86 -0.78 -0.74 -0.71 -0.63 -0.59 -0.56 -0.52 -0.48
 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03
  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29  0.33  0.37  0.41
  0.44  0.52  0.56  0.59  0.63  0.67  0.71  0.74  0.78  0.82  0.89  0.93
  0.97  1.01  1.04  1.08  1.12  1.19  1.23  1.27  1.31  1.34  1.42  1.46
  1.49  1.53  1.57  1.64  1.68  1.72  1.75  1.83  1.87  1.9   1.94  2.02
  2.05  2.13  2.17  2.2   2.28  2.35  2.39  2.47  2.54  2.58  2.65  2.73
  2.8   2.92  2.99  3.1   3.21]",0,100.0,7,0,3,166150200300261308
4,Deciduous Forest,Forest,2,1,42.45623375140114,-75.5077394549,414.82556,122451081.76024184,"[-3.55 -3.21 -2.91 -2.69 -2.47 -2.24 -2.09 -1.9  -1.75 -1.64 -1.49 -1.38
 -1.27 -1.16 -1.08 -0.97 -0.89 -0.78 -0.71 -0.63 -0.56 -0.48 -0.41 -0.33
 -0.26 -0.18 -0.11 -0.03  0.03  0.11  0.18  0.26  0.33  0.41  0.48  0.56
  0.63  0.71  0.78  0.86  0.93  1.01  1.04  1.12  1.19  1.27  1.3   1.38
  1.45  1.49  1.57  1.64  1.68  1.75  1.83  1.87  1.94  2.02  2.05  2.13
  2.2   2.28  2.32  2.39  2.47  2.54  2.61  2.69  2.76  2.84  2.91  2.99
  3.06  3.18  3.25  3.36  3.44  3.55  3.66  3.78  3.92  4.07  4.26  4.45
  4.67  4.94  5.23  5.57  5.95  6.36  6.88  7.41  7.97  8.83 10.1  10.59
 11.   11.34 11.67 12.01 12.38]",0,100.0,7,0,3,166150200300262608
5,Deciduous Forest,Forest,2,1,42.45013134548609,-75.49573957890132,439.56073,122451081.93378586,"[-3.74 -3.44 -3.18 -2.99 -2.84 -2.69 -2.58 -2.43 -2.32 -2.2  -2.13 -2.02
 -1.9  -1.83 -1.75 -1.64 -1.57 -1.49 -1.45 -1.38 -1.3  -1.23 -1.19 -1.12
 -1.04 -1.01 -0.93 -0.89 -0.82 -0.78 -0.74 -0.67 -0.63 -0.59 -0.52 -0.48
 -0.44 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11 -0.03  0.    0.03  0.07
  0.14  0.18  0.22  0.29  0.33  0.37  0.44  0.48  0.52  0.59  0.63  0.67
  0.74  0.78  0.82  0.89  0.93  1.01  1.04  1.08  1.16  1.19  1.27  1.3
  1.38  1.45  1.49  1.57  1.6   1.68  1.75  1.79  1.87  1.94  2.02  2.09
  2.17  2.24  2.32  2.39  2.5   2.58  2.69  2.8   2.91  3.06  3.25  3.44
  3.66  3.89  4.11  4.37  4.71]",0,100.0,7,0,3,166150200300262628
6,Pasture/Hay,Planted/Cultivated,2,1,42.432687908106935,-75.46148922946773,476.0887,122451082.42966384,"[-4.45 -4.19 -3.92 -3.66 -3.44 -3.25 -3.1  -2.91 -2.76 -2.61 -2.5  -2.35
 -2.2  -2.09 -1.94 -1.83 -1.75 -1.64 -1.53 -1.45 -1.38 -1.3  -1.23 -1.16
 -1.08 -1.04 -0.97 -0.93 -0.86 -0.82 -0.74 -0.71 -0.63 -0.59 -0.56 -0.48
 -0.44 -0.41 -0.37 -0.29 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.    0.07
  0.11  0.14  0.18  0.26  0.29  0.33  0.37  0.44  0.48  0.52  0.59  0.63
  0.67  0.71  0.78  0.82  0.86  0.93  0.97  1.01  1.08  1.12  1.19  1.23
  1.27  1.34  1.38  1.42  1.49  1.53  1.6   1.64  1.72  1.75  1.83  1.87
  1.94  2.02  2.05  2.13  2.2   2.28  2.35  2.43  2.5   2.58  2.69  2.76
  2.88  2.99  3.14  3.36  3.7 ]",0,0.0,7,0,3,166150200300262688
7,Pasture/Hay,Planted/Cultivated,2,1,42.42685761078702,-75.45006801639293,488.7431,122451082.59496143,"[-1.42 -1.23 -1.08 -0.93 -0.82 -0.71 -0.59 -0.48 -0.41 -0.29 -0.22 -0.14
 -0.03  0.03  0.14  0.22  0.33  0.41  0.52  0.59  0.71  0.82  0.89  1.01
  1.12  1.19  1.3   1.38  1.49  1.57  1.64  1.72  1.79  1.87  1.94  2.02
  2.09  2.17  2.2   2.28  2.32  2.39  2.43  2.5   2.54  2.61  2.65  2.73
  2.76  2.8   2.88  2.91  2.99  3.03  3.06  3.14  3.18  3.21  3.29  3.33
  3.36  3.44  3.48  3.55  3.59  3.63  3.7   3.74  3.81  3.85  3.92  3.96
  4.04  4.07  4.15  4.22  4.26  4.34  4.41  4.45  4.52  4.6   4.67  4.75
  4.82  4.9   4.97  5.05  5.12  5.2   5.31  5.38  5.5   5.61  5.72  5.83
  5.98  6.13  6.36  6.58  6.84]",0,0.0,7,0,3,166150200300262708
8,Deciduous Forest,Forest,2,1,42.39160305988878,-75.38115041893,420.39395,122451083.594961,"[-3.18 -2.76 -2.5  -2.24 -2.02 -1.87 -1.68 -1.53 -1.42 -1.27 -1.16 -1.08
 -0.97 -0.86 -0.78 -0.71 -0.63 -0.56 -0.48 -0.41 -0.33 -0.26 -0.18 -0.11
 -0.03  0.03  0.07  0.14  0.22  0.29  0.37  0.44  0.52  0.59  0.67  0.74
  0.86  0.93  1.04  1.12  1.23  1.34  1.49  1.6   1.75  1.94  2.13  2.35
  2.58  2.84  3.1   3.4   3.74  4.04  4.34  4.67  5.01  5.42  6.02  6.54
  6.96  7.33  7.78  8.6   9.69 10.14 10.55 11.07 11.78 12.46 12.95 13.39
 13.81 14.22 14.7  15.15 15.6  15.98 16.31 16.61 16.91 17.17 17.47 17.74
 18.07 18.37 18.71 19.05 19.42 19.79 20.28 20.77 21.22 21.59 21.89 22.23
 22.6  23.01 23.46 23.95 24.44]",0,95.0,7,0,3,166150200300262828
9,Developed Open Space,Developed,2,1,42.385764311554894,-75.36977047358782,423.79678,122451083.760241,"[-1.23 -0.89 -0.59 -0.37 -0.14  0.07  0.33  0.56  0.78  0.97  1.19  1.34
  1.49  1.6   1.72  1.83  1.9   2.02  2.09  2.17  2.24  2.32  2.39  2.47
  2.54  2.61  2.65  2.73  2.8   2.88  2.95  2.99  3.06  3.14  3.21  3.29
  3.36  3.44  3.51  3.59  3.66  3.74  3.81  3.89  3.96  4.07  4.15  4.26
  4.37  4.49  4.6   4.71  4.86  5.01  5.2   5.38  5.57  5.83  6.13  6.58
  7.07  7.56  8.04  8.6   9.16  9.76 10.51 11.37 12.01 12.53 13.06 13.58
 14.03 14.48 14.97 15.53 16.09 16.54 16.88 17.17 17.44 17.66 17.92 18.15
 18.41 18.67 18.9  19.12 19.38 19.57 19.79 20.02 20.24 20.47 20.69 20.92
 21.1  21.33 21.55 21.82 22.19]",0,27.0,7,0,3,166150200300262848
